ID,名字,遗物类型,描述,特殊值,介绍,声效
PomPomBlessing,帕姆的祝福,STARTER,战斗开始时，你回复100点充能，同等与当前层数的 [E] ，然后获得1层无实体。 NL 你使用牌后，回复20点充能。充能上限为240。 NL 回合结束时，你可以选择任意张手牌保留，每保留1张消耗20点充能。 NL 在危机关头，还有奇效。。。,,,FLAT
GalacticBat,银河球棒,STARTER,回合开始时，对【韧性】不大于0的敌人施加【韧性】至其上限。不同单位有不同的韧性上限。 NL 对有【韧性】的目标造成属性伤害后，移除其削韧值数量的【韧性】，若其的【韧性】因此削减至0及以下，则视为击破目标。 NL 属性伤害的削韧值为后面括号里的数字。 NL 击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果。,,击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果： NL 冰：造成2点击破伤害，施加【冻结】。 NL 物理：造成4点击破伤害，施加【裂伤】。 NL 火：造成4点击破伤害，施加【灼烧】。 NL 雷：造成2点击破伤害，施加【触电】。 NL 风：造成3点击破伤害，若其为普通/精英/BOSS敌人，施加1/2/3层【风化】。 NL 量子：造成1点击破伤害，施加【纠缠】。 NL 虚数：造成1点击破伤害，施加【禁锢】。,FLAT
WarpingCompoundEye,跃迁复眼,COMMON,在选择奖励牌时，强化其中所有普通品质的卡牌。,,它的光线能率先跃迁至前方的星系，带回新世界的信息。,FLAT
CasketOfInaccuracy,测不准匣,COMMON,拾起时，可以增加一张牌到你的卡组。,,这只匣子的每一面都能够打开，本应重合的空间并不重合，由于这种独特的性质，你无法确定打开匣子后会发生什么，因此也并不建议在里面存放任何东西。,FLAT
AmbergrisCheese,香涎干酪,COMMON,战斗结束后，回复2点生命。,2,直到现在，银河中仍然有一个星系被美味的干酪塞得严严实实，一丁点空隙也没留下。,FLAT
TheParchmentThatAlwaysEats,永不停嘴的羊皮卷,COMMON,战斗开始时，对所有敌方角色造成其生命值上限10%的伤害。,10,在黑塔的奇物清单里，这张羊皮卷的危害等级被标注为极高。,FLAT
TheDoctorsRobe,博士之袍,COMMON,战斗开始时，回复120点充能。,120,这件长袍据称曾属于天才俱乐部4「原始博士」，拥有不可思议的力量。,FLAT
SocietyTicket,俱乐部券,COMMON,战斗结束后，获得的金币数提高33%。,,事实是，6以后的每位会员都确实使用过「俱乐部券」，可时间从来没有重合过哪怕一次。,FLAT
FaithBond,信仰债券,COMMON,商店区域的药水和奇物商品价格减少33%。,,但一代又一代的「你」汇聚起来，终将拥有守护整个宇宙的力量。,FLAT
RecordFromBeyondTheSky,天外重声大碟,COMMON,战斗开始时，获得1层【无实体】和1层【人工制品】。,1,最后一台秩序唱机在帝皇战争中损坏，唱片上厚厚的积灰似在抗议那无声的时光。,FLAT
EntropicDie,万象无常骰,COMMON,拾起时，随机升级2张牌。,2,万象无常骰曾在宇宙中极为常见，造成无数微小但邪恶的混乱。,FLAT
AngelTypeIOUDispenser,天使型谢债发行机,COMMON,战斗结束后，无法获得金币。效果触发5次后该奇物失效，使当前的金币数量翻倍，且该遗物损毁。,5,星际和平公司业务巩固部推出的谢债发行机，本质上是个投资产品。,FLAT
BlackHoleTrap,黑洞之阱,COMMON,战斗结束后，根据你生命值大于80%的数量，获得等量金币。,66,星系中时空曲率最大的地方曾出现疑似「虚无」星神的巨影。,FLAT
RubertEmpireMechanicalCogwheel,鲁珀特帝国机械齿轮,COMMON,进入战斗时，获得50金币，然后若你的金币数大于500，则失去所有金币，该遗物损毁。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,50,#鲁珀特二世自称继承了天才俱乐部500.07帝皇鲁珀特的记忆。,FLAT
RubertEmpireMechanicalLever,鲁珀特帝国机械杠杆,COMMON,进入？时，随机选择一张牌，若其未升级，则升级之，否则该遗物损毁。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,,#鲁珀特二世自称继承了天才俱乐部1.07帝皇鲁珀特的记忆。,FLAT
RubertEmpireMechanicalPiston,鲁珀特帝国机械活塞,COMMON,进入休息处时，获得2个遗物，随机失去1个不为初始遗物的遗物，若以此法失去自身，则失去所有遗物。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,,#鲁珀特二世自称继承了天才俱乐部2.07帝皇鲁珀特的记忆。,FLAT
VileMechanicalSatellite#900,邪恶机械卫星#900,COMMON,商店区域的所有商品价格降低20%。,20,它们是典型的反有机文明，对待有机生命手腕狠辣，而其中尤以卫星#900最为邪恶。,FLAT
PriceOfPeace,和平的代价,COMMON,进入商店时，获得100金币。,100,人们相信这场繁荣永远不会结束――直到日后更为惨烈的星际能源战争悄然揭幕。,FLAT
MysteriousMagnetism,「神秘」磁力,COMMON,进入新楼层时，获得50金币。战斗胜利后，失去50金币。,50,为对抗「智识」的确定性，谜语人曾在不确定领域做出诸多努力。,FLAT
ShatterboneBlade,断骨剑,COMMON,第二章及之前，受到伤害提高20%；第三章及之后，受到伤害降低20%。,20,而多年以后，每每在私下讲起森林里的遭遇时，少年都会痛哭流涕，并对那人面兽心的卡耶尔大骂不止。,FLAT
BeaconColoringPaste,信标着色剂,COMMON,战斗胜利选择卡牌时，升级其中1张。,,它的发明者乃是一位画技卓绝的无名客。,FLAT
SuperOverlordSpinningTop,超霸王陀螺,COMMON,战斗开始时，获得1层【击破特攻】。首个回合开始时，移除敌方50%的【韧性】。,33,,FLAT
FortuneGlue,福灵胶,UNCOMMON,战斗结束后，出现的牌是稀有品质的概率提高100%，触发1次后该遗物损毁。,100,运气是一种能力吗？也许；运气能够被改变吗？黑塔认为能。,FLAT
ShiningTrapezohedronDie,闪耀的偏方三八面骰,UNCOMMON,拾起时，重新获得所有非初始遗物。,,由此产生了著名的「闪耀偏方三八面骰悖论」：你没法证明没法证明的事情。,FLAT
GoldCoinOfDiscord,分裂金币,UNCOMMON,进入新楼层时，获得当前持有的金币1%数量的金币。,1,面对如上情况时，公司的代表会耸耸肩，然后轻描淡写地摧毁该星球的金融体系根基――通常是黄金。,FLAT
SilverCoinOfDiscord,分裂银币,UNCOMMON,拾起时，获得当前持有的金币 50% 数量的金币。,33,于是某位研究员研造出分裂银币，令银币不停分裂数量剧增，又被公司熔铸成天线出口各个星系，极大地推动了星系间的交流。,FLAT
ShatteredStarBait,碎星芳饵,UNCOMMON,战斗开始时，获得1层〖敏捷〗。你在选择下一层的房间时有1次机会可以无视当前的路线。,1,在黄昏战争前，混沌星云膨胀所产生的爆炸碎屑可以作为饵料，其特有的宇宙尘埃芳香能够吸引到古兽前来觅食。,FLAT
CosmicBigLotto,银河大乐透,UNCOMMON,进入新楼层时： NL 20%的概率，获得一个随机遗物； NL 10%的概率，失去当前血量的一半，且该遗物损毁。,,星际和平公司市场开拓部发售的银河大乐透，其营销方针正如奥斯瓦尔多・施耐德本人一样充满激情与热血。,FLAT
InterastralBigLotto,星际大乐透,UNCOMMON,进入新楼层时： NL 20%的概率，此楼层可以额外获得一次卡牌奖励； NL 10%的概率，随机失去1张牌，且该遗物损毁。,,如何令一个商业模式持续运作下去？在银河大乐透广获好评之后，星际和平公司出售了星际大乐透。,FLAT
IllusoryAutomaton,虚构机兵,UNCOMMON,回合开始时，获得4点格挡。,4,虚构史学家本身是否也是被虚构的？,FLAT
ManMadeMeteorite,人造陨石球,UNCOMMON,拾起时，重新获得你的所有火漆。,,陨石球表面坐落着由其复刻的「博识之眼」。,FLAT
RottingFruitOfTheAlienTree,腐化异木果实,UNCOMMON,初始有3次触发次数。回合开始时，若你没有【人工制品】，你获得1层，然后若不为首回合，你受到5点伤害。,3,他们一人拥抱蜕变，一人当场毙命。,FLAT
RobeOfTheBeauty,纯美之袍,RARE,战斗开始时，每拥有100金币，获得1层〖力量〗，至多获得5层。,,纯美骑士纵横星海的时代，全宇宙都为他们的风采所倾倒。,FLAT
CavitySystemModel,龋齿星系模型,RARE,拾起时，失去50%金币。 NL 战斗结束后，失去50金币，然后如果金币不足100，该遗物损毁。 NL 进入战斗时，对生命值最多的敌方造成10点伤害，每因为该奇物的效果损失100金币，额外造成1次伤害。,50,「宇宙是不规则的，就像个牙齿！」,FLAT
DignityAndPassion,尊严与热忱,BOSS,回合结束时，获得已损失生命值50%的格挡。,,星际和平公司拥有属地星区采矿作业的最终解释权，任何非法采矿的行为都将被视作干扰琥珀王筑墙的亵渎之举。,FLAT
RubertEmpireDifferenceMachine,鲁珀特帝国差分机,SPECIAL,进入新楼层时，复制该房间的所有奖励。,,「如果这就是天才，那世上还是多些蠢人为好。」,FLAT
,,,,,,
WaxOfElation,欢愉火漆,STARTER,拾起时，从所有「欢愉」牌里选择获得1张。提高「欢愉」牌出现的概率。,,据说盖下这枚火漆，就会遥遥吸引对应星神跨越时空的瞥视。,FLAT
WaxOfDestruction,毁灭火漆,STARTER,拾起时，从所有「毁灭」牌里选择获得1张。提高「毁灭」牌出现的概率。,,据说盖下这枚火漆，就会遥遥吸引对应星神跨越时空的瞥视。,FLAT
WaxOfNihility,虚无火漆,STARTER,拾起时，从所有「虚无」牌里选择获得1张。提高「虚无」牌出现的概率。,,据说盖下这枚火漆，就会遥遥吸引对应星神跨越时空的瞥视。,FLAT
,,,,,,
aha,啊哈面具,UNCOMMON,你消耗牌时，有25%概率不消耗。,,,FLAT
ix,IX投影,UNCOMMON,战斗开始时，将手牌转化为虚无。你使用虚无牌后，对随机敌人施加1层随机的持续伤害。,,,FLAT
bo,博识君的算法,UNCOMMON,战斗开始时，获得2层【罐中脑】。,,,FLAT
fuli,浮黎的玄冰,UNCOMMON,回合开始时，对随机敌人施加1层【冻结】。,,,FLAT
,,,,,,
y,幽锁深牢的系囚,RARE,你的初始牌获得虚无。你的牌虚无后，摸1张牌，并对随机敌人施加1层随机的持续伤害。,,,FLAT
TheAshblazingGrandDuke,毁烬焚骨的大公,RARE,你的初始攻击牌视为追击牌，且于击破时追击。,,优雅的火魔于万火之火中诞生，并笃信毁灭是赐予陀斐特的至上冠冕。,FLAT
d,荡除蠹灾的铁骑,RARE,你的初始攻击牌和防御牌增加消耗词条，且削韧值与护盾量+2。,,,FLAT
,,,,,,
Himeko,姬子的遗物,SPECIAL,,,她自火中新生，她自火中微笑。,FLAT
Welt,老杨的遗物,SPECIAL,,,杨卧起坐中……,FLAT
Danheng,丹恒的遗物,SPECIAL,,,一切仍如昨日所见……,FLAT
March7th,三月七的遗物,SPECIAL,,,我不想…一个人……,FLAT
Stella,星的遗物,SPECIAL,,,世界，拒绝了我……,FLAT
